Date,Open,High,Low,Close,Adj Close,Volume,ticker
2018-01-02,1.7999999523162842,1.840000033378601,1.7699999809265137,1.7899999618530273,1.7899999618530273,236700,APPS
2018-01-03,1.7999999523162842,1.9299999475479126,1.7899999618530273,1.8700000047683716,1.8700000047683716,720600,APPS
2018-01-04,1.8799999952316284,1.899999976158142,1.8200000524520874,1.8600000143051147,1.8600000143051147,208900,APPS
2018-01-05,1.8600000143051147,1.9800000190734863,1.850000023841858,1.9600000381469727,1.9600000381469727,746200,APPS
2018-01-08,2.009999990463257,2.069999933242798,1.9199999570846558,1.9600000381469727,1.9600000381469727,904600,APPS
2018-01-09,1.9500000476837158,2.0,1.8899999856948853,1.9299999475479126,1.9299999475479126,341800,APPS
2018-01-10,1.940000057220459,1.9900000095367432,1.8899999856948853,1.9900000095367432,1.9900000095367432,220200,APPS
2018-01-11,1.9900000095367432,2.0,1.9600000381469727,1.9900000095367432,1.9900000095367432,189600,APPS
2018-01-12,2.0,2.0,1.9500000476837158,1.9900000095367432,1.9900000095367432,194700,APPS
2018-01-16,2.0,2.0899999141693115,1.909999966621399,1.9500000476837158,1.9500000476837158,862600,APPS
2018-01-17,2.0,2.0899999141693115,1.9199999570846558,2.049999952316284,2.049999952316284,1546000,APPS
2018-01-18,2.049999952316284,2.1500000953674316,2.0399999618530273,2.0999999046325684,2.0999999046325684,1328300,APPS
2018-01-19,2.0999999046325684,2.140000104904175,2.069999933242798,2.0999999046325684,2.0999999046325684,356300,APPS
2018-01-22,2.119999885559082,2.130000114440918,2.0,2.119999885559082,2.119999885559082,494800,APPS
2018-01-23,2.130000114440918,2.1500000953674316,2.059999942779541,2.0899999141693115,2.0899999141693115,389900,APPS
2018-01-24,2.119999885559082,2.119999885559082,2.0,2.049999952316284,2.049999952316284,618900,APPS
2018-01-25,2.049999952316284,2.069999933242798,2.009999990463257,2.0299999713897705,2.0299999713897705,258000,APPS
2018-01-26,2.049999952316284,2.059999942779541,2.009999990463257,2.0299999713897705,2.0299999713897705,324400,APPS
2018-01-29,2.1500000953674316,2.25,2.059999942779541,2.059999942779541,2.059999942779541,2366900,APPS
2018-01-30,2.059999942779541,2.0999999046325684,2.0199999809265137,2.0399999618530273,2.0399999618530273,473800,APPS
2018-01-31,2.0399999618530273,2.069999933242798,1.9600000381469727,2.0299999713897705,2.0299999713897705,514600,APPS
2018-02-01,2.0399999618530273,2.059999942779541,1.9700000286102295,2.0399999618530273,2.0399999618530273,428600,APPS
2018-02-02,2.0399999618530273,2.049999952316284,1.9600000381469727,1.9800000190734863,1.9800000190734863,486600,APPS
2018-02-05,1.9500000476837158,2.009999990463257,1.8200000524520874,1.940000057220459,1.940000057220459,671800,APPS
2018-02-06,1.899999976158142,2.0899999141693115,1.899999976158142,2.059999942779541,2.059999942779541,686000,APPS
2018-02-07,2.069999933242798,2.119999885559082,1.9900000095367432,2.0199999809265137,2.0199999809265137,909300,APPS
2018-02-08,2.1700000762939453,2.2300000190734863,2.009999990463257,2.009999990463257,2.009999990463257,2759100,APPS
2018-02-09,2.0299999713897705,2.119999885559082,2.009999990463257,2.0899999141693115,2.0899999141693115,1342200,APPS
2018-02-12,2.130000114440918,2.2699999809265137,2.0799999237060547,2.200000047683716,2.200000047683716,2370100,APPS
2018-02-13,2.2200000286102295,2.390000104904175,2.200000047683716,2.319999933242798,2.319999933242798,2268500,APPS
2018-02-14,2.319999933242798,2.509999990463257,2.309999942779541,2.450000047683716,2.450000047683716,2615100,APPS
2018-02-15,2.5,2.5,2.299999952316284,2.4000000953674316,2.4000000953674316,1109500,APPS
2018-02-16,2.4100000858306885,2.450000047683716,2.359999895095825,2.430000066757202,2.430000066757202,726400,APPS
2018-02-20,2.4600000381469727,2.490000009536743,2.319999933242798,2.359999895095825,2.359999895095825,810700,APPS
2018-02-21,2.3299999237060547,2.559999942779541,2.309999942779541,2.4100000858306885,2.4100000858306885,3315300,APPS
2018-02-22,2.4600000381469727,2.4700000286102295,2.2300000190734863,2.259999990463257,2.259999990463257,7225000,APPS
2018-02-23,2.2799999713897705,2.4000000953674316,2.2799999713897705,2.3499999046325684,2.3499999046325684,1077100,APPS
2018-02-26,2.359999895095825,2.4000000953674316,2.299999952316284,2.3399999141693115,2.3399999141693115,777400,APPS
2018-02-27,2.3399999141693115,2.3399999141693115,2.2300000190734863,2.299999952316284,2.299999952316284,515800,APPS
2018-02-28,2.309999942779541,2.319999933242798,2.240000009536743,2.25,2.25,672400,APPS
2018-03-01,2.25,2.299999952316284,2.2300000190734863,2.259999990463257,2.259999990463257,522100,APPS
2018-03-02,2.259999990463257,2.319999933242798,2.2100000381469727,2.319999933242798,2.319999933242798,775800,APPS
2018-03-05,2.299999952316284,2.3399999141693115,2.25,2.2899999618530273,2.2899999618530273,621600,APPS
2018-03-06,2.2899999618530273,2.309999942779541,2.2699999809265137,2.2899999618530273,2.2899999618530273,602400,APPS
2018-03-07,2.2899999618530273,2.369999885559082,2.2799999713897705,2.309999942779541,2.309999942779541,1019400,APPS
2018-03-08,2.3299999237060547,2.359999895095825,2.240000009536743,2.2699999809265137,2.2699999809265137,784300,APPS
2018-03-09,2.2699999809265137,2.359999895095825,2.259999990463257,2.3499999046325684,2.3499999046325684,748800,APPS
2018-03-12,2.3499999046325684,2.569999933242798,2.3399999141693115,2.440000057220459,2.440000057220459,2226300,APPS
2018-03-13,2.4600000381469727,2.509999990463257,2.4100000858306885,2.490000009536743,2.490000009536743,785400,APPS
2018-03-14,2.5199999809265137,2.5199999809265137,2.3499999046325684,2.4100000858306885,2.4100000858306885,839000,APPS
2018-03-15,2.430000066757202,2.5899999141693115,2.380000114440918,2.509999990463257,2.509999990463257,1603700,APPS
2018-03-16,2.509999990463257,2.5199999809265137,2.430000066757202,2.490000009536743,2.490000009536743,991800,APPS
2018-03-19,2.490000009536743,2.5,2.259999990463257,2.380000114440918,2.380000114440918,1677500,APPS
2018-03-20,2.369999885559082,2.4100000858306885,2.319999933242798,2.3499999046325684,2.3499999046325684,788500,APPS
2018-03-21,2.3499999046325684,2.4100000858306885,2.309999942779541,2.390000104904175,2.390000104904175,649800,APPS
2018-03-22,2.369999885559082,2.380000114440918,2.299999952316284,2.309999942779541,2.309999942779541,721500,APPS
